# timestamp ; field [FU] ; field [Hz] ; base frequency 1H [Hz]
2017-12-18T22:41:03.692+0100;-2520.12;-16417.05;600550000.00
2017-12-19T22:43:03.691+0100;-2519.36;-16412.15;600550000.00
2017-12-20T22:45:03.689+0100;-2520.38;-16418.75;600550000.00
2018-01-04T15:25:47.409+0100;-2527.67;-16466.25;600550000.00
2018-01-05T03:26:42.000+0100;-2525.66;-16453.18;600550000.00
2018-01-05T15:26:42.123+0100;-2528.14;-16469.29;600550000.00
2018-01-06T15:27:42.115+0100;-2530.16;-16482.49;600550000.00
2018-01-07T15:28:42.142+0100;-2529.78;-16480.01;600550000.00
2018-01-08T03:29:42.005+0100;-2526.76;-16460.29;600550000.00
2018-01-09T03:30:42.017+0100;-2525.71;-16453.48;600550000.00
2018-01-10T03:31:42.001+0100;-2525.83;-16454.28;600550000.00
2018-01-16T09:59:42.742+0100;-2532.99;-16500.93;600550000.00
2018-01-16T22:00:41.755+0100;-2552.23;-16626.27;600550000.00
2018-01-17T10:00:41.860+0100;-2637.97;-17184.79;600550000.00
2018-01-17T22:01:41.762+0100;-2532.95;-16500.68;600550000.00
2018-01-18T20:28:43.772+0100;-2525.69;-16453.36;600550000.00
2018-01-19T20:29:43.768+0100;-2526.31;-16457.38;600550000.00
2018-01-20T20:30:43.778+0100;-2528.08;-16468.94;600550000.00
2018-01-21T20:31:43.777+0100;-2526.89;-16461.16;600550000.00
2018-01-22T23:57:38.933+0100;-2533.93;-16507.00;600550000.00
2018-01-23T23:58:38.936+0100;-2530.68;-16485.88;600550000.00
2018-01-24T15:27:26.569+0100;-2533.16;-16501.99;600550000.00
2018-01-25T15:28:23.681+0100;-2535.65;-16518.23;600550000.00
2018-01-26T15:29:23.680+0100;-2533.79;-16506.13;600550000.00
2018-01-27T15:30:23.676+0100;-2532.78;-16499.54;600550000.00
2018-01-28T15:31:23.677+0100;-2532.43;-16497.25;600550000.00
2018-02-05T08:51:34.320+0100;-2535.90;-16519.87;600550000.00
2018-02-06T08:52:31.425+0100;-2535.10;-16514.63;600550000.00
2018-02-07T08:53:31.441+0100;-2527.65;-16466.15;600550000.00
2018-02-07T20:54:31.326+0100;-2534.19;-16508.71;600550000.00
2018-02-08T20:55:31.335+0100;-2533.40;-16503.57;600550000.00
2018-02-09T20:56:31.335+0100;-2534.72;-16512.17;600550000.00
2018-02-10T20:57:31.332+0100;-2534.31;-16509.51;600550000.00
2018-02-11T20:58:31.329+0100;-2535.54;-16517.51;600550000.00
2018-02-12T21:25:34.924+0100;-2535.51;-16517.33;600550000.00
2018-02-13T11:58:17.666+0100;-2559.16;-16671.42;600550000.00
2018-02-13T23:59:15.665+0100;-2536.93;-16526.59;600550000.00
2018-02-15T00:00:15.663+0100;-2539.62;-16544.08;600550000.00
2018-02-15T12:00:15.775+0100;-2537.11;-16527.72;600550000.00
2018-02-19T09:01:42.278+0100;-2547.29;-16594.09;600550000.00
2018-02-19T21:22:46.521+0100;-2535.49;-16517.17;600550000.00
2018-02-20T21:23:46.521+0100;-2535.37;-16516.40;600550000.00
2018-02-21T16:43:55.421+0100;-2529.12;-16475.72;600550000.00
2018-02-22T04:44:54.311+0100;-2532.53;-16497.94;600550000.00
2018-02-22T16:44:54.431+0100;-2535.49;-16517.20;600550000.00
2018-02-23T16:45:54.412+0100;-2530.94;-16487.55;600550000.00
2018-02-24T04:46:54.308+0100;-2536.99;-16526.98;600550000.00
2018-02-25T04:47:54.302+0100;-2535.47;-16517.09;600550000.00
2018-02-26T04:48:54.302+0100;-2536.07;-16521.00;600550000.00
2018-02-26T21:09:26.766+0100;-2540.44;-16549.43;600550000.00
2018-02-27T21:10:26.756+0100;-2540.75;-16551.46;600550000.00
2018-02-28T21:11:26.759+0100;-2541.81;-16558.37;600550000.00
2018-03-01T21:12:26.756+0100;-2545.56;-16582.78;600550000.00
2018-03-02T21:13:26.760+0100;-2543.19;-16567.32;600550000.00
